network_id,node_from,node_to,link_type,link_direction,link_value,link_units,taxonomy_name_from,taxonomy_rank_from,kingdom_from,taxonomy_name_to,taxonomy_rank_to,kingdom_to
mangal_1384,mangal_node_3667,mangal_node_3676,mutualism,undirected,1,NA,Eriogonum fasciculatum,species,Plantae,Lasioglossum diversopunctatum,species,Animalia
mangal_1384,mangal_node_3692,mangal_node_2186,mutualism,undirected,1,NA,Heliotropium curassavicum,species,Plantae,Syritta pipiens,species,Animalia
mangal_1384,mangal_node_3695,mangal_node_3654,mutualism,undirected,1,NA,Sambucus mexicana,NA,Plantae,Eupeodes volucris,species,Animalia
mangal_1384,mangal_node_3675,mangal_node_3638,mutualism,undirected,1,NA,Heteromeles arbutifolia,species,Plantae,Eupeodes fumipennis,species,Animalia
mangal_1384,mangal_node_3667,mangal_node_1427,mutualism,undirected,2,NA,Eriogonum fasciculatum,species,Plantae,Helophilus latifrons,species,Animalia
mangal_1384,mangal_node_3667,mangal_node_3693,mutualism,undirected,2,NA,Eriogonum fasciculatum,species,Plantae,Melissodes robustior,species,Animalia
mangal_1384,mangal_node_3695,mangal_node_3691,mutualism,undirected,2,NA,Sambucus mexicana,NA,Plantae,Allograpta exotica,species,Animalia
mangal_1388,mangal_node_3636,mangal_node_3638,mutualism,undirected,2,NA,Brassica,genus,Plantae,Eupeodes fumipennis,species,Animalia
mangal_1388,mangal_node_3709,mangal_node_3648,mutualism,undirected,1,NA,Rosa californica,species,Plantae,Lasioglossum incompletum,species,Animalia
mangal_1388,mangal_node_3651,mangal_node_3643,mutualism,undirected,2,NA,Helminthotheca echioides,species,Plantae,Halictus tripartitus,species,Animalia
mangal_1388,mangal_node_3651,mangal_node_3656,mutualism,undirected,1,NA,Helminthotheca echioides,species,Plantae,Sphaerophoria sulphuripes,species,Animalia
mangal_1388,mangal_node_3641,mangal_node_3691,mutualism,undirected,3,NA,Convolvulus arvensis,species,Plantae,Allograpta exotica,species,Animalia
mangal_1388,mangal_node_3641,mangal_node_3638,mutualism,undirected,2,NA,Convolvulus arvensis,species,Plantae,Eupeodes fumipennis,species,Animalia
mangal_1388,mangal_node_3641,mangal_node_3652,mutualism,undirected,4,NA,Convolvulus arvensis,species,Plantae,Halictus ligatus,species,Animalia
mangal_1388,mangal_node_3641,mangal_node_1427,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Helophilus latifrons,species,Animalia
mangal_1388,mangal_node_3641,mangal_node_3650,mutualism,undirected,2,NA,Convolvulus arvensis,species,Plantae,Sphaerophoria contigua,species,Animalia
mangal_1388,mangal_node_3641,mangal_node_3646,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Cheilosia aenea,species,Animalia
mangal_1388,mangal_node_3651,mangal_node_3648,mutualism,undirected,1,NA,Helminthotheca echioides,species,Plantae,Lasioglossum incompletum,species,Animalia
